product_id,title,category,brand,description,price,stock,average_rating,rating_number
B08LYT4Q2X,"Organic Sweet Almond Oil and Fractionated Coconut Oil Bundle for Hair and Skin, 100% Pure and Natural, Hexane-Free, Moisturizing, For Healthy Skin, Silky Hair, Multiuse Body Oil, 16 fl. Oz X 2",All Beauty,Shiny Leaf,[] [],-1.0,81,4.5,167
B089CSF11Y,"Empty Brown Glass Spray Bottles2-Pack, Refillable 16 oz Containers for Essential Oils, Cleaning Products, Aromatherapy, Misting Plants, or Cooking - Reliable Sprayer with Mist and Stream Settings",All Beauty,Cherry,[] [],-1.0,14,3.7,53
B081ZN3TD5,JPNK 4PCS Anti-Static Detangling Fine & Wide Tooth Shower Comb Set,All Beauty,JPNK,[] [],-1.0,3,4.1,58
B07Q4YCBWD,Best Mom Ever French Milled Luxury Soap Set of 3 Bars (6.35oz),All Beauty,Jolitee,[] [],-1.0,94,4.2,18
B08WHBSK6R,"Kidskin- Foaming Body Wash with Tea Tree Oil- Helps Combat Body and Foot Odor and Stubborn Body Acne and Skin Issues - Cruelty Free, Gluten Free, Paraben Free, Sulfate Free, Unscented, and Vegan- Made in USA",All Beauty,Kidskin,"['Kidskin Foaming Body Wash with Tea Tree Oil is designed exclusively for teens, tweens, pre teens, and boys and girls to work as an effective, yet gentle body wash. Natural ingredients like Allantoin and Bisabolol nourish beyond surface level, and penetrate into the lower levels of the skin for the deepest hydration possible, while active ingredient tea tree oil works to fight body acne and skin issues teens are commonly prone to. Unlike shower bars and other soaps, our products are designed to soothe problematic and compromised skin. With 100% Natural ingredients that are paraben, sulfate, fragrance, and gluten free, the Kidskin Foaming Body Wash with Tea Tree Oil is gentle enough for every day use. Our mission is to provide teens (like our own!) with a body wash that leaves them feeling fresh and confident so they can focus on what really matters- every day. Ingredients: Water (Aqua), Cocamidopropyl Betaine, Sodium Cocoyl Glutamate, Disodium Cocoyl Glutamate, Musa Sapientum (Banana) Extract, Polysorbate-20, Sodium Lauroyl Sarcosinate, ^ Glycerin, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Sea Salt (Sodium Chloride), Tetrasodium EDTA, Citric Acid, Allantoin, Bisabolol'] ['KIDSKIN was created with a mission to provide pre teens and teens with GENTLE YET EFFECTIVE skincare and personal hygiene products. Kidskin’s products are created with ALL SKIN TYPES in mind, from sensitive to rosacea prone. Teens should feel both fresh and confident to tackle the day- every day.'
 'ACTIVE INGREDIENT TEA TREE OIL reduces redness calms irritation in problematic and compromised skin. REDUCES SWELLING in both body acne and bacterial/ fungal skin issues teens are commonly prone to.'
 'Allantoin and Bisabolol help soothe irritation by penetrating deep into the skin for long lasting hydration. 100% NATURAL skin soothing ingredients are safe for every day use to help combat body odor.'
 'PARABEN, SULFATE, FRAGRANCE, VEGAN, AND GLUTEN FREE. We’re striving every day to help parents by offering high quality skincare products for their kids. All of our products are paraben free, fragrance free, sulfate free, and cruelty free.'
 'DERMATOLOGIST AND PEDIATRICIAN RECOMMENDED- Made with care in the USA, the Kidskin Foaming Body Wash is recommended by dermatologists and pediatricians.']",-1.0,31,4.0,49
B0C5V83YMB,YouClean 300 Antibacterial Travel Hand Soap Sheets - Pocket/Purse/Wallet/Backpack -Great for Outdoor Camping or Daily Use (Tea Party) (Tea Party),All Beauty,YouClean,"['Brand:' 'YouClean' 'Item Form:' 'Sheet' 'Formulation:'
 'Concentrated plant-based soap' 'Scent:'
 'Tea Party (Chamomile, Green Tea, Tea Tree)' 'Package Box Size:'
 '2 x 1 x 1.5 inch' 'www.shopyouclean.com'
 ""We are changing our packaging. No more small plastic cases!   Our new packaging is 100% biodegradable paper. All 300 sheets are tightly packed in 3 tiny paper boxes (100 sheets/box) which nicely fit in any purse/wallet, handbag, and kids' pack-backs.   Check out our 9 scent collections:   - Tea Party  - Citrus Collection  - Purple Heart  - Pink Pamper  - Red Passion  - Blanca Elegance  - Seaside Vacation  - The Adventure  - The Nonsense (unscented)""] ['PORTABLE TRAVEL SIZE -- Each YouClean collection has 3 tiny boxes (2 x 1 x 0.25 inches) (5 x 2.5 x 0.5 cm) which nicely fit in any purse/ wallet, handbag, pack-backs that come in handy everywhere and at any time. These portable soap sheets are small, light and zero-waste which makes them perfect for travel, hiking, camping, school trips and convenient at workplaces.'
 'FOAMING, MOITURIZING & NOURISHING SKIN -- YouClean hand soap sheet quickly dissolves to create a foaming lather. It is made with high quality, all-natural plant-based ingredients, nourish and moisturize your skin with flower/fruit essential oils.'
 'WONDERFUL AROMATHERAPY with ESSENTIAL OILS -- YouClean 8 scent collections will keep your wallet, handbag, pack backs, or pockets smell good all the time. We also have The Nonsense (unscented) which is suitable for professional working environments.'
 'EASY-TO-USE -- Take out a YouClean soap sheet with dry hands. Add water and rub hands to form a lather. Rinse, dry and enjoy your clean hands. It is suitable for all skin types and whole body. It can be used as shampoo or body wash, if needed.'
 'NO PLASTIC PACKAGING with 100% biodegradable paper packaging. We are fighting with the plastic waste by being part of the solution. GREEN EARTH IS OUR GOAL - KEEP YouClean IS YOUR MISSION!']",13.87,28,3.6,35
B08WF29DM9,"TULA Probiotic Skin Care Supersize 24-7 Moisture Hydrating Day & Night Cream | Holiday 2020, Ageless is the New Anti-Aging, Face Cream, Contains Watermelon Fruit and Blueberry Extract | 3.4 oz",All Beauty,TULA,[] [],-1.0,17,4.7,149
B08HMLXW65,"Claw Hair Clips, IKOCO 6 Pack Jaw Clips Stylish Matte Plastic Strong Hold Hair Clamps Box Packaged for Thin Fine Hair with 10Pcs Black Hair ties (2.4Inch)",All Beauty,IKOCO,[] [],-1.0,94,4.4,122
B08BF4BKKM,"Facial Kit For Women - Includes Facial Mask, Facial Makeup Wipes, Nose Strips, Facial Cleansers, Facial- Self Care Package For Women (Multivitamin Facial Kit)",All Beauty,Golden Gift Box,[] [],-1.0,11,4.5,26
B08PHS33D9,"Eggplant Clearing Cleansing Oil Pad 60 pads, Makeup remover pad. Exfoliating. Simple easy quick wipe. Moisturizing cleansing oil pad",All Beauty,PAPA RECIPE RIGHT FOR SKIN,[] [],-1.0,54,4.4,37
